File				Authors		Source
BTNAttack1.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNBonus1.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNHoldPosition1.tga		Crazyrussian	http://www.wc3campaigns.net/
BTNMove1.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNPatrol1.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNStop1.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNAttack2.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNBonus2.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNHoldPosition2.tga		Crazyrussian	http://www.wc3campaigns.net/
BTNMove2.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNPatrol2.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNStop2.tga			Crazyrussian	http://www.wc3campaigns.net/
DISBTNAttack1.tga		Crazyrussian	http://www.wc3campaigns.net/
DISBTNBonus1.tga		Crazyrussian	http://www.wc3campaigns.net/
DISBTNHoldPosition1.tga		Crazyrussian	http://www.wc3campaigns.net/
DISBTNMove1.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNPatrol1.tga			Crazyrussian	http://www.wc3campaigns.net/
DISBTNStop1.tga			Crazyrussian	http://www.wc3campaigns.net/
DISBTNAttack2.tga		Crazyrussian	http://www.wc3campaigns.net/
DISBTNBonus2.tga		Crazyrussian	http://www.wc3campaigns.net/
DISBTNHoldPosition2.tga		Crazyrussian	http://www.wc3campaigns.net/
DISBTNMove2.tga			Crazyrussian	http://www.wc3campaigns.net/
BTNPatrol2.tga			Crazyrussian	http://www.wc3campaigns.net/
DISBTNStop2.tga			Crazyrussian	http://www.wc3campaigns.net/
