File						Authors			Source
*Pitfall.blp					Lightskin		http://www.hiveworkshop.com/forums/icons-541/btnsharpwoodenstick-128321

BTNMagicRing.blp				Akolyt0r		http://www.hiveworkshop.com/
DISBTNMagicRing.blp				Akolyt0r		http://www.hiveworkshop.com/

BTNWizardsHat.blp				NFWar			http://www.hiveworkshop.com/
DISBTNWizardsHat.blp				NFWar			http://www.hiveworkshop.com/

ATCVampireNecklace.blp				kola			http://www.hiveworkshop.com/
BTNVampireNecklace.blp				kola			http://www.hiveworkshop.com/
DISATCVampireNecklace.blp			kola			http://www.hiveworkshop.com/
DISBTNVampireNecklace.blp			kola			http://www.hiveworkshop.com/
DISPASVampireNecklace.blp			kola			http://www.hiveworkshop.com/
PASVampireNecklace.blp				kola			http://www.hiveworkshop.com/

ATCRingOfLatency.blp				Static			http://www.hiveworkshop.com/
ATTRingOfLatency.blp				Static			http://www.hiveworkshop.com/
BTNRingOfLatency.blp				Static			http://www.hiveworkshop.com/
DISATCRingOfLatency.blp				Static			http://www.hiveworkshop.com/
DISBTNRingOfLatency.blp				Static			http://www.hiveworkshop.com/
DISPASRingOfLatency.blp				Static			http://www.hiveworkshop.com/
PASRingOfLatency.blp				Static			http://www.hiveworkshop.com/
UPGUPGRingOfLatency.blp				Static			http://www.hiveworkshop.com/

BTNNasalHelmet.blp				(Icon pack)?		http://www.wc3c.net/
DISBTNNasalHelmet.blp				(Icon pack)?		http://www.wc3c.net/

BTNBloodAmulet.blp				Infinitynexus		http://www.hiveworkshop.com/
DISBTNBloodAmulet.blp				Infinitynexus		http://www.hiveworkshop.com/
DISPASBTNBloodAmulet.blp			Infinitynexus		http://www.hiveworkshop.com/
PASBTNBloodAmulet.blp				Infinitynexus		http://www.hiveworkshop.com/

ATCAmuletOfForesight.blp			-BerZeKeR-		http://www.hiveworkshop.com/
BTNAmuletOfForesight.blp			-BerZeKeR-		http://www.hiveworkshop.com/
DISATCAmuletOfForesight.blp			-BerZeKeR-		http://www.hiveworkshop.com/
DISBTNAmuletOfForesight.blp			-BerZeKeR-		http://www.hiveworkshop.com/
DISPASAmuletOfForesight.blp			-BerZeKeR-		http://www.hiveworkshop.com/
PASAmuletOfForesight.blp			-BerZeKeR-		http://www.hiveworkshop.com/

ATCSwordOfDarknessOn.blp			67chrome		http://www.hiveworkshop.com/
BTNSwordOfDarkness.blp				67chrome		http://www.hiveworkshop.com/
DISATCSwordOfDarknessOn.blp			67chrome		http://www.hiveworkshop.com/
DISBTNSwordOfDarkness.blp			67chrome		http://www.hiveworkshop.com/
DISPASSwordOfDarkness.blp			67chrome		http://www.hiveworkshop.com/
PASSwordOfDarkness.blp				67chrome		http://www.hiveworkshop.com/

BTNAntlers.blp 				 	Stanakin Skywalker	http://www.hiveworkshop.com/
DISBTNAntlers.blp				Stanakin Skywalker	http://www.hiveworkshop.com/
DISPASAntlers.blp				Stanakin Skywalker	http://www.hiveworkshop.com/
PASAntlers.blp					Stanakin Skywalker	http://www.hiveworkshop.com/
UPGUPGAntlers.blp				Stanakin Skywalker	http://www.hiveworkshop.com/


BTNBoletus.tga					Crazyrussian		http://www.wc3c.net/
DISBTNBoletus.tga				Crazyrussian		http://www.wc3c.net/
BTNFlameMixture.tga				Crazyrussian		http://www.wc3c.net/
